"","m5",""
"","b","se"
"_t","",""
"Elite","1.684455",".0992867"
"Female",".8927975",".0495925"
"White","1.456031",".0879142"
"Insider","1.432424",".0833262"
"log_Pub_Cum",".6697667",".0524568"
"HHI",".9728749",".0366899"
"Novelty","1.072076",".0325279"
"Consistency","1.73073",".1635879"
"Consistency_Square",".8725105",".0323207"
"c.HHI#c.log_Pub_Cum",".9961797",".0223426"
"c.Novelty#c.log_Pub_Cum","1.010734",".0240145"
"c.Consistency#c.log_Pub_Cum","1.747116",".15503"
"c.Consistency_Square#c.log_Pub_Cum",".9089672",".0257426"
"T1",".7233599",".0647602"
"T2","1.508074",".1111022"
"T3",".799226",".0714416"
"T4","1.02427",".0737702"
"T5","1.051417",".0836276"
"T6",".8637025",".0676248"
"T7","1.374773",".1545528"
"T8","1.053127",".0907787"
"T9",".8870148",".0866908"
"T10",".9662212",".0766578"
"T11",".9357093",".0787083"
"T12",".9930089",".0809201"
"T13",".7144555",".0702675"
"T14",".6059851",".0578966"
"T15","1.005553",".0787719"
"T16",".7953775",".0655458"
"T17","1.003363",".0810733"
"T18","1.062723",".0782673"
"T19",".8017547",".0655058"
"T20","1.089629",".0937885"
"T21",".8940183",".0736174"
"T22",".8663954",".0720905"
"T23",".9364842",".0738979"
"T24",".8942552",".0825337"
"T25",".8900811",".0756135"
"T26",".9725346",".0866273"
"T27","1.031249",".0861466"
"T28",".8892849",".0712442"
"T29","1.031689",".0780909"
"T30",".9036753",".076039"
"T31","1.007755",".0760733"
"T32",".7934901",".0674082"
"T33","1.074935",".0828046"
"T34","1.136125",".0914096"
"T35","1.074259",".0888709"
"T36",".7483385",".0621675"
"T37",".9187803",".082941"
"T38","1.196506",".0905984"
"T39","1.208069",".1032952"
"T40",".8488807",".0711194"
"T41","1.161119",".0903448"
"T42","1.006279",".0867641"
"T43","1.067833",".0766853"
"T44","1.080478",".0832837"
"T45","1.105131",".0858375"
"T46",".8834193",".0808709"
"T48","1.205307",".0909619"
"T49",".8189728",".0810932"
"T50","1.356904",".0943121"
"T51",".9138113",".0673766"
"T52","1.097491",".0829264"
"T53",".9145539",".0776156"
"T54",".9228921",".0807302"
"T55","1.197574",".0931608"
"T56","1.036933",".0823704"
"T57",".8079196",".0681224"
"T58","1.354607",".0889492"
"T59",".7495744",".0632293"
"T60",".97677",".0740096"
"N","79137",""
