"","m5",""
"","b","se"
"_t","",""
"Elite","1.66953",".0986153"
"Female",".8965163",".0492157"
"White","1.455122",".0877198"
"Insider","1.430152",".0818368"
"log_Pub_Cum",".6768137",".0524393"
"HHI",".9516762",".0354789"
"Novelty","1.07538",".0324328"
"Consistency","1.719786",".1612235"
"Consistency_Square",".87688",".0320994"
"c.HHI#c.log_Pub_Cum","1.000441",".022444"
"c.Novelty#c.log_Pub_Cum","1.007448",".0240395"
"c.Consistency#c.log_Pub_Cum","1.746662",".1553737"
"c.Consistency_Square#c.log_Pub_Cum",".9065188",".0257035"
"T1",".7270607",".0665047"
"T2","1.485163",".1091589"
"T3",".8303472",".066857"
"T4",".9788294",".0692806"
"T5",".9727793",".0731467"
"T6",".8417803",".062848"
"T7","1.316176",".1444157"
"T8","1.04295",".0862936"
"T9",".9887113",".0905688"
"T10",".91725",".0672911"
"T11",".9329349",".0738127"
"T12","1.046463",".0860451"
"T13",".6934903",".0691632"
"T14",".6062225",".0543768"
"T15",".8961587",".0690683"
"T16",".8545126",".0735688"
"T17","1.016388",".0817518"
"T18",".9416726",".0667326"
"T19",".8500058",".0643458"
"T20","1.071994",".0838547"
"T21",".9067006",".0718491"
"T22",".9281007",".0712265"
"T23",".9650576",".0691313"
"T24",".8054733",".0716488"
"T25",".9274617",".0720983"
"T26",".9427861",".0732469"
"T27","1.041594",".0833426"
"T28",".9317879",".0724536"
"T29","1.174566",".0839893"
"T30",".9749505",".0809232"
"T31",".8986994",".0674599"
"T32",".8129201",".0641848"
"T33","1.056562",".0762645"
"T34","1.120034",".0855548"
"T35","1.016374",".0793891"
"T36",".879547",".0655747"
"T37",".9493682",".0827369"
"T38","1.08268",".0829044"
"T39","1.149709",".0962506"
"T40",".8591712",".0665941"
"T41","1.101906",".0794022"
"T42","1.055053",".0900441"
"T43","1.033365",".0692853"
"T44","1.016418",".0766102"
"T45","1.028489",".0739223"
"T46",".923675",".0802664"
"T48","1.255718",".0954075"
"T49",".8309395",".0807391"
"T50","1.335801",".0882153"
"T51","1.008973",".071773"
"T52","1.102264",".0789425"
"T53",".9041654",".0725047"
"T54",".9056077",".0762267"
"T55","1.198343",".0877712"
"T56","1.0284",".0794886"
"T57",".868592",".0682771"
"T58","1.287006",".0786273"
"T59",".7023286",".0565548"
"T60","1.015776",".0694077"
"N","79137",""
