"","m5",""
"","b","p"
"_t","",""
"Elite","1.671629","0"
"Female",".9153222",".1017802"
"White","1.439207","1.31e-09"
"Insider","1.460913","4.62e-11"
"log_Pub_Cum",".6747578","4.92e-07"
"HHI",".9491863",".1700868"
"Novelty","1.0774",".0142315"
"Consistency","1.747755","2.22e-09"
"Consistency_Square",".8704817",".0001487"
"c.HHI#c.log_Pub_Cum",".9980859",".9316247"
"c.Novelty#c.log_Pub_Cum","1.007931",".7421012"
"c.Consistency#c.log_Pub_Cum","1.71106","1.66e-09"
"c.Consistency_Square#c.log_Pub_Cum",".9144067",".0015397"
"T1",".8507737",".0805645"
"T2","1.386149","8.24e-06"
"T3",".7394888",".0000976"
"T4","1.042471",".5507851"
"T5",".9136912",".2138968"
"T6",".8768787",".0645089"
"T7","1.240546",".0537369"
"T8",".8880404",".1731661"
"T9","1.111375",".2239665"
"T10",".9910625",".8982859"
"T11","1.003179",".9665869"
"T12","1.05832",".4753582"
"T13",".7887528",".0227692"
"T14",".6799286",".000096"
"T15",".8888577",".1530645"
"T16",".8366504",".0286159"
"T17","1.009285",".910408"
"T18",".9156199",".2141758"
"T19",".8170175",".0054632"
"T20","1.088544",".247929"
"T21",".8888303",".1332063"
"T22",".9045878",".2032703"
"T23",".9323546",".3072193"
"T24",".8223449",".0229452"
"T25","1.151838",".0582279"
"T26",".9588538",".5706031"
"T27","1.080388",".3497326"
"T28",".9557765",".5623468"
"T29","1.142466",".0619606"
"T30",".9563982",".5984472"
"T31",".8637736",".0456769"
"T32",".9353916",".4121106"
"T33","1.081089",".2703919"
"T34",".9756495",".7358246"
"T35","1.034349",".670031"
"T36",".9003264",".1298116"
"T37",".8838828",".1638331"
"T38","1.109335",".170575"
"T39","1.066622",".4246385"
"T40",".957344",".5582141"
"T41","1.099344",".168465"
"T42","1.014264",".8679869"
"T43",".9750382",".7046607"
"T44",".9091754",".229784"
"T45","1.016739",".805918"
"T46",".9758534",".7808054"
"T48","1.318238",".0001916"
"T49",".9305902",".4626741"
"T50","1.379979","9.35e-07"
"T51","1.067096",".3465604"
"T52","1.090183",".2222134"
"T53",".8986836",".1737068"
"T54","1.004163",".9593992"
"T55","1.043751",".5510185"
"T56","1.050491",".4974721"
"T57",".8495857",".0316112"
"T58","1.249522",".0004291"
"T59",".7069468","6.30e-06"
"T60","1.029915",".6474782"
"N","79137",""
