"","m5",""
"","b","p"
"_t","",""
"Elite","1.684455","0"
"Female",".8927975",".0412087"
"White","1.456031","4.89e-10"
"Insider","1.432424","6.50e-10"
"log_Pub_Cum",".6697667","3.09e-07"
"HHI",".9728749",".4658864"
"Novelty","1.072076",".0218011"
"Consistency","1.73073","6.49e-09"
"Consistency_Square",".8725105",".0002317"
"c.HHI#c.log_Pub_Cum",".9961797",".8644913"
"c.Novelty#c.log_Pub_Cum","1.010734",".653157"
"c.Consistency#c.log_Pub_Cum","1.747116","3.22e-10"
"c.Consistency_Square#c.log_Pub_Cum",".9089672",".0007512"
"T1",".7233599",".0002977"
"T2","1.508074","2.45e-08"
"T3",".799226",".0121704"
"T4","1.02427",".7391696"
"T5","1.051417",".528452"
"T6",".8637025",".0612844"
"T7","1.374773",".0046369"
"T8","1.053127",".5481659"
"T9",".8870148",".2199189"
"T10",".9662212",".6649296"
"T11",".9357093",".4295374"
"T12",".9930089",".9313932"
"T13",".7144555",".0006292"
"T14",".6059851","1.58e-07"
"T15","1.005553",".9436485"
"T16",".7953775",".0054679"
"T17","1.003363",".9668538"
"T18","1.062723",".4087977"
"T19",".8017547",".0068441"
"T20","1.089629",".3186416"
"T21",".8940183",".1736737"
"T22",".8663954",".0847854"
"T23",".9364842",".4056268"
"T24",".8942552",".2259078"
"T25",".8900811",".1704687"
"T26",".9725346",".7545402"
"T27","1.031249",".7126126"
"T28",".8892849",".1430211"
"T29","1.031689",".6802186"
"T30",".9036753",".228702"
"T31","1.007755",".9184909"
"T32",".7934901",".0064712"
"T33","1.074935",".3482164"
"T34","1.136125",".1126894"
"T35","1.074259",".3865654"
"T36",".7483385",".0004836"
"T37",".9187803",".3480613"
"T38","1.196506",".0178193"
"T39","1.208069",".0270578"
"T40",".8488807",".0505178"
"T41","1.161119",".0548715"
"T42","1.006279",".9421245"
"T43","1.067833",".3607677"
"T44","1.080478",".3152831"
"T45","1.105131",".1980919"
"T46",".8834193",".1757151"
"T48","1.205307",".0133475"
"T49",".8189728",".0437117"
"T50","1.356904",".0000113"
"T51",".9138113",".2215465"
"T52","1.097491",".2182636"
"T53",".9145539",".292591"
"T54",".9228921",".3589739"
"T55","1.197574",".0204651"
"T56","1.036933",".6479871"
"T57",".8079196",".0114188"
"T58","1.354607","3.80e-06"
"T59",".7495744",".0006328"
"T60",".97677",".7564057"
"N","79137",""
