"","m5",""
"","b","p"
"_t","",""
"Elite","1.66953","0"
"Female",".8965163",".0466019"
"White","1.455122","4.91e-10"
"Insider","1.430152","4.04e-10"
"log_Pub_Cum",".6768137","4.70e-07"
"HHI",".9516762",".1839833"
"Novelty","1.07538",".0159665"
"Consistency","1.719786","7.31e-09"
"Consistency_Square",".87688",".0003318"
"c.HHI#c.log_Pub_Cum","1.000441",".9843083"
"c.Novelty#c.log_Pub_Cum","1.007448",".7558045"
"c.Consistency#c.log_Pub_Cum","1.746662","3.62e-10"
"c.Consistency_Square#c.log_Pub_Cum",".9065188",".0005375"
"T1",".7270607",".0004927"
"T2","1.485163","7.39e-08"
"T3",".8303472",".0209451"
"T4",".9788294",".7624079"
"T5",".9727793",".7135986"
"T6",".8417803",".0210595"
"T7","1.316176",".0122854"
"T8","1.04295",".6112747"
"T9",".9887113",".901366"
"T10",".91725",".2390414"
"T11",".9329349",".3802624"
"T12","1.046463",".5807199"
"T13",".6934903",".0002425"
"T14",".6062225","2.41e-08"
"T15",".8961587",".1548675"
"T16",".8545126",".0678233"
"T17","1.016388",".8398404"
"T18",".9416726",".3964129"
"T19",".8500058",".0318109"
"T20","1.071994",".3741372"
"T21",".9067006",".2164614"
"T22",".9281007",".3309242"
"T23",".9650576",".6195309"
"T24",".8054733",".015019"
"T25",".9274617",".3326968"
"T26",".9427861",".4482563"
"T27","1.041594",".6105314"
"T28",".9317879",".3635649"
"T29","1.174566",".0244416"
"T30",".9749505",".7598813"
"T31",".8986994",".1547722"
"T32",".8129201",".008709"
"T33","1.056562",".4459114"
"T34","1.120034",".1378012"
"T35","1.016374",".8352802"
"T36",".879547",".0851562"
"T37",".9493682",".5510412"
"T38","1.08268",".2995331"
"T39","1.149709",".0956274"
"T40",".8591712",".0501952"
"T41","1.101906",".1780782"
"T42","1.055053",".5300514"
"T43","1.033365",".6244824"
"T44","1.016418",".8289482"
"T45","1.028489",".6959219"
"T46",".923675",".3609023"
"T48","1.255718",".0027264"
"T49",".8309395",".0566503"
"T50","1.335801",".0000116"
"T51","1.008973",".9000621"
"T52","1.102264",".173985"
"T53",".9041654",".2090043"
"T54",".9056077",".2388219"
"T55","1.198343",".0134973"
"T56","1.0284",".7171175"
"T57",".868592",".0730947"
"T58","1.287006",".0000363"
"T59",".7023286",".0000114"
"T60","1.015776",".8188061"
"N","79137",""
